"auto_ids","n","geoms"
100,2,"1015.373,1003.163,-1.815,1015.343,1003.117,-1.808"
101,2,"1015.406,1002.92,-1.821,1015.387,1002.887,-1.821"
102,2,"1015.362,1002.928,-1.829,1015.355,1002.874,-1.817"
103,2,"1015.116,1002.442,-1.802,1015.137,1002.377,-1.792"
104,2,"1015.265,1002.265,-1.797,1015.225,1002.249,-1.807"
105,2,"1015.227,1002.264,-1.808,1015.168,1002.261,-1.801"
106,2,"1015.213,1002.261,-1.81,1015.183,1002.243,-1.805"
107,2,"1015.215,1002.226,-1.814,1015.223,1002.167,-1.812"
108,4,"1015.246,1002.358,-1.818,1015.175,1002.389,-1.819,1015.219,1002.398,-1.853,1015.246,1002.358,-1.818"
109,2,"1015.198,1002.403,-1.833,1015.166,1002.438,-1.828"
110,4,"1015.057,1003.024,-1.822,1015.109,1002.996,-1.835,1015.092,1003.076,-1.826,1015.057,1003.024,-1.822"
111,1,"1015.266,1003.008,-1.835"
112,1,"1015.317,1003.109,-1.851"
113,2,"1015.246,1002.015,-1.811,1015.276,1002.022,-1.809"
114,2,"1015.458,1001.99,-1.829,1015.462,1002.029,-1.83"
115,2,"1015.075,1002.239,-1.807,1015.125,1002.243,-1.819"
116,1,"1015.183,1002.476,-1.835"
117,1,"1015.646,1002.972,-1.816"
118,2,"1014.823,1002.809,-1.774,1014.834,1002.773,-1.802"
119,2,"1015.377,1002.999,-1.853,1015.359,1002.956,-1.856"
120,1,"1015.389,1002.584,-1.852"
121,2,"1015.22,1002.491,-1.832,1015.226,1002.445,-1.845"
122,4,"1015.29,1002.292,-1.779,1015.307,1002.229,-1.84,1015.351,1002.314,-1.846,1015.29,1002.292,-1.779"
123,2,"1015.115,1002.216,-1.814,1015.109,1002.275,-1.803"
124,2,"1015.335,1002.2,-1.851,1015.37,1002.155,-1.856"
125,2,"1015.22,1003.096,-1.843,1015.275,1003.077,-1.856"
126,2,"1015.335,1002.963,-1.872,1015.301,1002.93,-1.871"
127,2,"1015.165,1003.094,-1.853,1015.2,1003.051,-1.859"
128,1,"1015.159,1002.394,-1.888"
129,2,"1015.127,1002.329,-1.847,1015.114,1002.268,-1.85"
130,2,"1015.205,1002.299,-1.873,1015.247,1002.328,-1.873"
131,2,"1015.336,1002.296,-1.853,1015.377,1002.256,-1.867"
132,1,"1015.195,1001.874,-1.883"
133,4,"1015.271,1001.941,-1.904,1015.342,1001.935,-1.907,1015.311,1001.967,-1.895,1015.271,1001.941,-1.904"
134,1,"1015.22,1003.044,-1.887"
135,1,"1015.317,1003.214,-1.814"
136,1,"1015.109,1003.043,-1.866"
137,4,"1015.104,1002.92,-1.878,1015.128,1002.846,-1.876,1015.066,1002.85,-1.853,1015.104,1002.92,-1.878"
138,2,"1015.3,1002.428,-1.871,1015.313,1002.372,-1.872"
139,2,"1015.389,1002.141,-1.882,1015.341,1002.104,-1.876"
140,2,"1015.399,1002.702,-1.875,1015.394,1002.654,-1.872"
141,1,"1015.331,1002.377,-1.88"
142,2,"1015.2,1002.301,-1.888,1015.15,1002.29,-1.866"
143,2,"1015.276,1003.258,-1.841,1015.236,1003.217,-1.809"
144,1,"1015.268,1001.916,-1.906"
145,2,"1015.109,1003.139,-1.877,1015.172,1003.109,-1.897"
146,2,"1015.238,1003.07,-1.908,1015.277,1003.114,-1.896"
147,1,"1015.25,1002.97,-1.915"
148,2,"1015.429,1002.825,-1.904,1015.463,1002.754,-1.897"
149,2,"1015.185,1002.888,-1.912,1015.165,1002.828,-1.914"
150,2,"1015.08,1002.665,-1.898,1015.085,1002.613,-1.896"
151,1,"1015.157,1002.617,-1.903"
152,4,"1015.43,1002.548,-1.902,1015.415,1002.465,-1.902,1015.482,1002.5,-1.894,1015.43,1002.548,-1.902"
153,2,"1015.56,1002.216,-1.871,1015.507,1002.199,-1.883"
154,2,"1015.411,1002.245,-1.891,1015.362,1002.262,-1.896"
155,2,"1015.297,1002.372,-1.91,1015.248,1002.367,-1.918"
156,2,"1015.197,1002.331,-1.921,1015.164,1002.274,-1.921"
157,2,"1015.313,1002.149,-1.884,1015.318,1002.098,-1.897"
158,2,"1015.231,1001.941,-1.919,1015.223,1001.878,-1.911"
159,1,"1015.409,1001.638,-1.925"
160,2,"1015.314,1001.557,-1.903,1015.306,1001.505,-1.884"
161,2,"1015.266,1001.541,-1.889,1015.232,1001.509,-1.893"
162,1,"1014.987,1003.185,-1.768"
163,1,"1015.111,1003.05,-1.91"
164,1,"1015.161,1002.882,-1.935"
165,4,"1015.121,1002.953,-1.898,1015.084,1002.919,-1.912,1015.098,1003.03,-1.931,1015.121,1002.953,-1.898"
166,2,"1015.091,1003.006,-1.908,1015.04,1002.981,-1.901"
167,2,"1015.452,1002.284,-1.908,1015.418,1002.344,-1.911"
168,1,"1015.228,1002.731,-1.927"
169,2,"1015.205,1002.836,-1.926,1015.232,1002.896,-1.924"
170,1,"1015.219,1003.061,-1.923"
171,2,"1015.101,1003.347,-1.888,1015.144,1003.211,-1.918"
172,1,"1015.472,1002.256,-1.917"
173,2,"1015.444,1002.128,-1.926,1015.386,1002.2,-1.921"
174,1,"1015.346,1002.215,-1.924"
175,2,"1015.11,1002.274,-1.913,1015.112,1002.324,-1.916"
176,1,"1015.289,1002.993,-1.947"
177,1,"1015.419,1002.846,-1.952"
178,1,"1015.259,1002.719,-1.936"
179,2,"1015.301,1002.683,-1.942,1015.315,1002.65,-1.935"
180,1,"1015.119,1003.164,-1.939"
181,1,"1015.3,1003.151,-1.945"
182,2,"1015.408,1002.785,-1.957,1015.43,1002.711,-1.952"
183,2,"1015.079,1002.958,-1.952,1015.143,1002.933,-1.96"
184,2,"1015.247,1002.812,-1.971,1015.323,1002.769,-1.961"
185,2,"1015.484,1002.6,-1.92,1015.531,1002.545,-1.935"
186,2,"1015.526,1002.207,-1.91,1015.572,1002.176,-1.906"
187,2,"1015.547,1002.198,-1.914,1015.585,1002.164,-1.921"
188,2,"1015.211,1003.118,-1.975,1015.25,1003.085,-1.968"
189,2,"1015.188,1002.971,-1.978,1015.144,1002.942,-1.971"
190,4,"1015.12,1002.287,-1.94,1015.106,1002.219,-1.937,1015.155,1002.243,-1.943,1015.12,1002.287,-1.94"
191,2,"1015.461,1002.045,-1.918,1015.431,1002.004,-1.922"
192,1,"1015.331,1001.588,-1.942"
193,1,"1015.225,1001.792,-1.935"
194,1,"1015.26,1001.805,-1.942"
195,2,"1015.302,1001.853,-1.942,1015.365,1001.876,-1.937"
196,1,"1015.473,1002.385,-1.949"
197,2,"1015.17,1002.26,-1.965,1015.231,1002.276,-1.968"
198,2,"1015.486,1002.517,-1.96,1015.492,1002.568,-1.963"
199,1,"1015.42,1002.829,-1.983"
200,2,"1015.197,1002.742,-1.985,1015.203,1002.788,-1.975"
201,2,"1015.262,1003.332,-1.935,1015.322,1003.33,-1.938"
202,1,"1015.23,1003.32,-1.952"
203,4,"1015.302,1002.95,-1.981,1015.352,1002.966,-1.957,1015.361,1002.896,-1.968,1015.302,1002.95,-1.981"
204,2,"1015.285,1002.625,-1.982,1015.253,1002.619,-1.977"
205,2,"1015.356,1002.398,-1.961,1015.361,1002.358,-1.963"
206,1,"1015.25,1002.214,-1.978"
207,2,"1015.152,1002.221,-1.965,1015.207,1002.176,-1.974"
208,2,"1015.208,1001.947,-1.975,1015.202,1002.044,-1.965"
209,2,"1015.318,1002.373,-1.971,1015.29,1002.333,-1.967"
210,1,"1015.282,1002.15,-1.978"
211,1,"1015.258,1001.882,-1.948"
212,1,"1015.109,1002.146,-1.887"
213,2,"1015.469,1001.575,-1.954,1015.431,1001.607,-1.953"
214,2,"1015.523,1001.647,-1.959,1015.49,1001.693,-1.973"
215,4,"1015.508,1002.363,-1.964,1015.518,1002.406,-1.963,1015.466,1002.393,-1.97,1015.508,1002.363,-1.964"
216,1,"1015.495,1002.875,-1.998"
217,4,"1015.283,1001.755,-1.961,1015.355,1001.735,-1.964,1015.346,1001.783,-1.953,1015.283,1001.755,-1.961"
218,1,"1015.314,1001.979,-1.978"
219,2,"1015.331,1002.006,-1.972,1015.308,1002.069,-1.955"
220,2,"1015.485,1002.329,-1.971,1015.476,1002.396,-1.986"
221,2,"1015.318,1002.365,-1.984,1015.303,1002.429,-1.989"
222,1,"1015.514,1002.582,-1.989"
223,1,"1015.228,1002.127,-1.991"
224,1,"1015.212,1002.251,-1.986"
225,1,"1015.495,1002.173,-1.986"
226,4,"1015.359,1002.088,-1.981,1015.311,1002.043,-1.983,1015.263,1002.086,-1.989,1015.359,1002.088,-1.981"
227,1,"1015.378,1002.177,-1.998"
228,2,"1015.324,1002.181,-1.98,1015.298,1002.244,-1.998"
229,1,"1015.498,1002.65,-2.012"
230,1,"1015.477,1002.663,-2.016"
231,1,"1015.432,1003.225,-1.995"
232,2,"1015.274,1003.033,-2.025,1015.263,1003.088,-2.032"
233,4,"1015.105,1003.033,-2.003,1015.098,1003.092,-2.004,1015.072,1003.078,-1.971,1015.105,1003.033,-2.003"
234,1,"1015.141,1002.711,-2.034"
241,2,"1015.011,1003.469,-1.364,1015.046,1003.517,-1.408"
248,2,"1015.359,1002.955,-2.016,1015.334,1002.994,-2.043"
249,1,"1015.412,1003.13,-2.027"
250,2,"1015.125,1002.455,-2.012,1015.152,1002.47,-2.032"
251,2,"1015.386,1002.749,-2.053,1015.412,1002.712,-2.059"
252,2,"1015.617,1002.037,-2.012,1015.577,1002.086,-2.026"
253,1,"1015.488,1003.224,-2.049"
254,2,"1015.381,1002.824,-2.071,1015.403,1002.75,-2.067"
255,1,"1015.483,1002.808,-2.072"
256,1,"1015.607,1002.835,-2.065"
257,2,"1015.209,1001.964,-1.991,1015.244,1001.998,-1.992"
258,2,"1015.286,1002.235,-2.055,1015.308,1002.313,-2.06"
259,2,"1015.375,1002.369,-2.066,1015.344,1002.418,-2.062"
260,1,"1015.288,1002.503,-2.059"
261,2,"1015.529,1002.31,-2.059,1015.495,1002.366,-2.064"
262,2,"1015.538,1002.317,-2.064,1015.499,1002.379,-2.056"
263,1,"1015.512,1002.454,-2.06"
264,2,"1015.659,1002.234,-2.094,1015.631,1002.278,-2.071"
265,4,"1015.633,1002.145,-2.072,1015.542,1002.217,-2.09,1015.573,1002.145,-2.095,1015.633,1002.145,-2.072"
266,2,"1015.517,1002.096,-2.065,1015.522,1002.157,-2.062"
267,1,"1015.25,1002.287,-2.069"
268,4,"1015.34,1002.195,-2.082,1015.374,1002.151,-2.078,1015.41,1002.191,-2.07,1015.34,1002.195,-2.082"
269,1,"1015.45,1002.783,-2.039"
270,1,"1015.253,1002.484,-2.081"
271,4,"1015.673,1002.508,-2.082,1015.698,1002.577,-2.07,1015.651,1002.588,-2.07,1015.673,1002.508,-2.082"
272,1,"1015.667,1002.706,-2.09"
273,2,"1015.616,1002.916,-2.063,1015.66,1002.912,-2.077"
274,1,"1015.177,1002.459,-2.105"
275,1,"1015.589,1002.872,-2.083"
276,2,"1015.318,1003.229,-2.093,1015.283,1003.251,-2.091"
277,2,"1015.133,1002.903,-2.093,1015.132,1002.812,-2.099"
278,1,"1015.601,1002.787,-2.092"
279,1,"1015.589,1002.82,-2.098"
280,1,"1015.671,1002.58,-2.108"
281,1,"1015.346,1002.333,-2.123"
282,2,"1015.771,1002.205,-2.132,1015.799,1002.157,-2.136"
283,1,"1015.112,1003.088,-2.114"
284,1,"1015.155,1002.828,-2.119"
285,1,"1015.611,1002.607,-2.131"
286,1,"1015.659,1002.321,-2.131"
287,4,"1015.457,1002.453,-2.119,1015.432,1002.499,-2.13,1015.395,1002.461,-2.123,1015.457,1002.453,-2.119"
288,2,"1015.144,1002.121,-2.124,1015.146,1002.177,-2.121"
289,2,"1015.146,1002.179,-2.12,1015.114,1002.208,-2.123"
290,2,"1015.457,1002.864,-2.146,1015.489,1002.823,-2.143"
291,1,"1015.549,1002.717,-2.133"
292,1,"1015.574,1002.762,-2.173"
293,1,"1015.427,1002.768,-2.162"
294,1,"1015.521,1002.626,-2.173"
295,2,"1015.564,1002.794,-2.139,1015.564,1002.752,-2.179"
296,2,"1015.699,1002.762,-2.153,1015.671,1002.727,-2.193"
297,1,"1015.529,1003.065,-2.143"
298,2,"1015.545,1003.291,-2.154,1015.465,1003.253,-2.16"
299,4,"1015.292,1002.819,-2.12,1015.241,1002.855,-2.117,1015.247,1002.831,-2.185,1015.292,1002.819,-2.12"
300,1,"1015.358,1002.498,-2.157"
301,2,"1015.593,1002.529,-2.162,1015.558,1002.465,-2.156"
302,2,"1015.332,1002.33,-2.161,1015.336,1002.385,-2.153"
303,2,"1015.574,1003.17,-2.155,1015.578,1003.218,-2.159"
304,1,"1015.082,1002.867,-1.975"
305,4,"1015.341,1003.379,-2.163,1015.378,1003.446,-2.072,1015.312,1003.467,-2.05,1015.341,1003.379,-2.163"
306,1,"1015.456,1003.167,-2.191"
307,2,"1015.153,1002.901,-2.165,1015.209,1002.855,-2.174"
308,1,"1015.252,1003.353,-2.143"
309,2,"1015.238,1003.374,-2.066,1015.237,1003.442,-2.041"
310,1,"1015.728,1002.966,-2.189"
311,1,"1015.243,1003.296,-2.178"
312,2,"1015.401,1003.01,-2.197,1015.433,1002.944,-2.202"
313,2,"1015.307,1002.812,-2.192,1015.328,1002.774,-2.183"
314,2,"1015.452,1002.787,-2.186,1015.476,1002.713,-2.198"
315,1,"1015.381,1002.398,-2.191"
316,1,"1015.754,1002.382,-2.181"
317,1,"1015.647,1002.094,-2.174"
318,1,"1015.731,1002.478,-2.19"
319,1,"1015.437,1002.327,-2.208"
320,1,"1015.443,1003.337,-2.191"
321,2,"1015.167,1003.178,-2.186,1015.147,1003.216,-2.189"
322,2,"1015.081,1003.377,-2.186,1015.136,1003.394,-2.171"
323,2,"1015.25,1003.267,-2.042,1015.217,1003.269,-2.035"
324,5,"1015.302,1002.851,-2.062,1015.265,1002.918,-2.062,1015.202,1002.881,-2.065,1015.249,1002.83,-2.065,1015.302,1002.851,-2.062"
325,2,"1015.885,1002.007,-2.151,1015.829,1002.024,-2.152"
326,1,"1015.771,1002.422,-2.199"
327,1,"1015.443,1002.027,-2.21"
328,1,"1015.124,1002.271,-2.204"
329,2,"1015.235,1002.423,-2.216,1015.214,1002.483,-2.21"
330,1,"1015.531,1002.814,-2.201"
331,1,"1015.091,1002.801,-2.156"
332,2,"1015.167,1002.911,-2.176,1015.198,1002.877,-2.219"
333,1,"1015.226,1002.958,-2.225"
334,1,"1015.185,1003.156,-2.207"
335,2,"1015.218,1003.281,-2.215,1015.233,1003.235,-2.219"
336,2,"1015.325,1003.222,-2.218,1015.318,1003.295,-2.21"
337,2,"1015.36,1003.407,-2.149,1015.473,1003.391,-2.142"
338,2,"1015.401,1003.359,-2.173,1015.379,1003.339,-2.249"
339,1,"1015.252,1003.314,-2.24"
340,4,"1015.285,1003.364,-2.211,1015.282,1003.308,-2.22,1015.289,1003.348,-2.259,1015.285,1003.364,-2.211"
341,1,"1015.731,1002.938,-2.215"
342,1,"1015.305,1002.141,-2.238"
343,1,"1015.151,1002.39,-2.232"
344,2,"1015.475,1002.293,-2.215,1015.508,1002.334,-2.208"
345,2,"1015.379,1002.377,-2.224,1015.386,1002.454,-2.223"
346,1,"1015.415,1002.691,-2.234"
347,2,"1015.393,1003.075,-2.229,1015.433,1003.107,-2.229"
348,1,"1015.072,1003.055,-2.222"
349,1,"1015.206,1003.413,-2.229"
350,4,"1015.428,1002.363,-2.258,1015.385,1002.378,-2.243,1015.403,1002.458,-2.219,1015.428,1002.363,-2.258"
351,4,"1015.685,1002.683,-2.226,1015.621,1002.681,-2.229,1015.646,1002.741,-2.209,1015.685,1002.683,-2.226"
352,2,"1015.568,1002.69,-2.227,1015.551,1002.749,-2.228"
353,1,"1015.058,1002.766,-2.245"
354,4,"1014.975,1003.3,-2.246,1015.026,1003.308,-2.212,1015.02,1003.36,-2.215,1014.975,1003.3,-2.246"
355,2,"1015.31,1003.41,-2.209,1015.313,1003.457,-2.212"
356,1,"1015.191,1002.269,-2.27"
357,1,"1015.155,1002.38,-2.28"
