"auto_id","coarse_stone_weight","coarse_fauna_weight","fine_stone_weight","fine_fauna_weight"
2262,24,1,3,1
2263,11,0,-1,-1
2264,22,4,7,1
2265,32,0,10,1
2266,58,1,4,2
2267,46,2,5,1
2268,22,14,2,1
2269,90,0,14,4
2270,58,0,10,0
2271,50,0,2,0
2272,42,1,-1,-1
11589,34,4,7,1
2273,38,0,1,1
2274,30,1,3,1
2275,56,2,12,2
2276,58,0,8,3
2277,20,3,2,1
2278,80,0,12,2
2279,56,1,12,1
2280,24,0,10,1
2281,14,2,4,1
2282,27,1,4,2
2283,20,1,10,3
11364,40,1,6,1
2284,18,0,4,1
2285,80,2,8,2
11662,11,1,3,1
11724,21,3,4,2
2286,84,2,6,2
2287,10,0,9,1
2288,41,1,6,0
11426,20,1,5,1
2289,30,0,2,1
2290,22,1,9,0
2291,72,0,14,2
2292,56,0,10,2
2293,29,1,6,1
2294,70,2,8,1
2295,38,2,4,2
2296,70,0,8,2
11307,72,2,9,2
2297,74,0,3,1
2298,39,1,6,2
2299,12,1,6,0
2300,218,1,15,2
2301,13,1,4,1
2302,66,0,4,0
2303,42,0,3,1
2304,38,0,10,2
2305,38,0,2,1
2306,22,0,4,1
2307,67,1,3,1
2308,84,0,20,8
2309,22,1,10,1
2310,44,0,4,2
2311,21,0,4,1
2312,9,0,10,4
11673,28,0,3,1
2313,-1,-1,6,1
2314,64,0,12,2
2315,11,0,8,1
2316,30,3,12,2
11782,8,0,1,1
11813,14,2,4,1
2317,62,0,10,2
2318,-1,-1,8,1
11500,18,0,6,1
2319,72,0,8,0
2320,16,0,1,1
2321,8,0,2,2
2322,27,3,2,2
2323,26,0,4,2
2324,8,0,11,2
2325,36,2,11,1
2326,60,4,4,2
2327,20,0,8,1
11703,47,0,1,1
2328,42,2,8,4
2329,52,0,10,0
2330,76,2,6,1
2331,54,8,1,2
2332,40,1,8,2
2333,76,0,8,6
2334,48,0,12,2
11285,40,2,12,4
2335,44,0,6,2
11441,22,0,5,4
2336,45,1,6,1
2337,11,2,8,2
11456,35,1,4,1
11702,7,0,1,1
2338,20,0,10,2
2339,88,0,9,2
2340,86,0,4,2
11636,16,0,3,1
2341,55,5,7,1
2342,32,0,10,1
2343,12,0,4,1
2344,46,0,12,2
2345,60,0,13,1
2346,41,2,4,2
2347,48,0,8,1
2348,32,0,4,0
2349,76,1,6,2
2350,30,0,6,1
11763,34,0,1,0
12013,18,0,2,0
11814,12,1,2,1
2351,46,0,10,2
2352,58,4,16,2
2353,74,2,6,0
2354,40,0,10,1
11428,31,1,6,1
11388,10,0,1,1
2355,8,1,2,0
2356,7,2,4,4
2357,84,0,8,2
2358,92,2,5,1
2359,72,0,30,8
2360,70,0,6,1
2361,15,0,3,1
2362,74,1,-1,-1
2363,62,0,2,0
2364,42,0,4,1
2365,34,0,4,2
2366,38,0,8,2
2367,52,0,5,1
2368,81,0,4,1
2369,52,0,4,0
2370,82,0,18,6
2371,15,1,10,3
2372,68,0,4,1
2373,20,0,7,1
11725,36,0,1,1
2374,54,4,4,1
2375,48,0,11,2
2376,30,0,6,2
2377,95,6,7,1
11464,56,0,7,1
2378,36,0,4,1
2379,80,0,10,1
2380,26,2,5,2
2381,62,1,8,1
2382,18,0,3,1
2383,22,0,10,12
2384,58,1,8,1
2385,16,0,2,0
2386,85,0,2,1
11617,40,0,6,1
2387,36,0,8,1
2388,22,0,4,2
2389,40,0,6,0
2390,16,0,6,1
2391,46,0,6,0
2392,26,1,4,1
2393,2,0,3,2
2394,32,0,9,2
11743,14,1,-1,-1
2395,40,0,12,1
12012,20,1,2,1
2396,42,2,8,2
2397,36,1,8,2
2398,70,0,-1,-1
2399,26,1,6,2
2400,60,2,20,4
2401,46,0,1,1
2402,70,0,10,1
2403,42,0,13,2
2404,16,0,4,1
2405,24,0,5,0
2406,43,1,5,1
11660,32,1,3,1
2407,18,2,3,4
11463,16,0,5,1
11429,16,1,6,1
2408,66,0,3,1
2409,56,0,8,2
2410,52,0,10,2
11526,44,0,-1,-1
2411,64,1,7,1
2412,11,0,10,0
11881,21,0,1,0
2413,40,0,6,2
2414,46,0,2,1
2415,18,0,8,0
2416,34,2,1,0
2417,26,0,3,1
2418,72,0,10,2
2419,42,2,12,2
2420,52,2,2,2
2421,36,3,6,4
2422,41,7,4,2
2423,24,1,-1,-1
2424,74,4,12,1
2425,36,0,7,2
11674,2,1,1,1
2426,68,0,12,2
2427,28,0,7,1
2428,18,0,6,2
2429,60,0,0,0
2430,77,1,8,1
2431,44,0,4,2
2432,38,1,8,0
2433,44,0,12,1
16983,32,0,-1,-1
4350,56,0,10,1
17378,18,9,-1,-1
4351,23,0,4,1
16038,9,0,-1,-1
17097,15,0,-1,-1
14312,29,0,9,3
4352,44,2,10,6
16122,17,0,-1,-1
16848,37,1,-1,-1
13267,32,0,6,0
17253,59,0,-1,-1
4353,11,0,5,3
18497,9,1,-1,-1
17366,16,0,-1,-1
12042,12,1,8,2
17284,27,0,-1,-1
12323,-1,-1,10,2
15797,22,0,-1,-1
19030,39,0,12,1
19010,54,0,6,0
16941,48,0,-1,-1
14604,60,1,-1,-1
4354,50,2,12,1
16343,54,0,-1,-1
13298,36,0,8,1
4355,23,0,6,1
17553,34,0,-1,-1
18480,24,3,-1,-1
17839,39,1,-1,-1
15545,64,2,-1,-1
16758,25,0,-1,-1
4356,30,0,8,1
4357,74,0,6,0
16143,21,0,-1,-1
13211,67,0,7,1
18407,5,0,-1,-1
18153,7,0,-1,-1
17202,19,1,-1,-1
16821,49,1,-1,-1
15714,58,0,-1,-1
4358,44,0,7,2
17788,16,0,-1,-1
15770,70,1,-1,-1
17991,4,0,-1,-1
4359,64,0,10,2
13234,50,0,5,1
14535,25,0,-1,-1
4360,53,0,5,1
12030,44,0,8,1
4361,86,0,8,1
16910,32,0,-1,-1
18098,11,0,-1,-1
4362,14,0,3,1
4363,25,1,16,7
15286,17,0,-1,-1
18501,30,1,-1,-1
4364,80,2,10,2
16771,43,0,3,1
12378,120,0,13,1
17381,30,0,-1,-1
11737,-1,-1,2,0
19009,51,0,16,1
4365,34,0,8,1
16149,19,0,-1,-1
15249,30,1,-1,-1
16965,18,0,-1,-1
18463,15,0,-1,-1
12332,54,0,6,1
17249,23,0,-1,-1
16332,32,2,-1,-1
16850,52,0,-1,-1
16156,57,0,-1,-1
15752,18,0,-1,-1
18018,17,0,-1,-1
4366,18,0,6,2
16241,13,0,-1,-1
4367,26,0,4,2
18150,51,0,-1,-1
16148,27,0,-1,-1
14363,14,0,-1,-1
4368,34,0,4,1
16263,30,0,-1,-1
4369,36,6,8,5
11516,32,0,6,1
15593,30,0,-1,-1
12040,58,0,7,1
16080,60,1,-1,-1
13970,28,0,11,1
17373,13,0,-1,-1
11845,60,0,6,1
12347,84,0,6,1
4370,72,2,11,1
4371,16,0,6,1
4372,36,2,11,1
4373,21,1,11,1
15768,40,0,-1,-1
4374,13,1,12,1
18347,18,0,-1,-1
4375,68,0,10,1
16641,73,0,-1,-1
17663,34,0,-1,-1
17902,34,0,-1,-1
17016,36,1,-1,-1
12223,44,0,4,1
15693,65,1,-1,-1
4376,12,0,5,1
4377,92,0,13,1
4378,29,0,4,1
16545,13,2,-1,-1
4379,10,0,2,8
17872,5,0,-1,-1
4380,40,1,8,2
14560,77,0,-1,-1
4381,40,0,4,2
4382,8,0,4,0
16438,64,0,-1,-1
18462,16,0,-1,-1
15806,15,0,-1,-1
13314,15,0,4,1
14228,55,0,5,1
4384,34,0,8,1
18155,14,0,-1,-1
16902,16,0,-1,-1
4385,14,1,3,3
4386,50,0,8,2
18449,0,0,-1,-1
4387,14,0,4,1
15862,14,0,-1,-1
17963,31,0,-1,-1
16791,17,0,-1,-1
16834,38,0,-1,-1
16188,43,0,-1,-1
17489,76,0,-1,-1
17357,17,9,-1,-1
4388,36,0,9,1
4389,23,0,-1,-1
13269,63,0,8,0
18366,58,0,-1,-1
16945,47,0,-1,-1
17630,42,0,-1,-1
15737,40,0,-1,-1
14563,17,0,-1,-1
4390,70,0,4,2
14549,108,0,-1,-1
4391,42,0,8,1
16685,45,0,-1,-1
16104,63,0,-1,-1
16503,26,0,-1,-1
19008,10,0,3,0
17182,28,1,-1,-1
17338,52,0,-1,-1
11466,-1,-1,8,1
17806,19,0,-1,-1
4392,68,2,12,0
4393,16,0,14,2
17804,-1,-1,14,0
16230,24,0,-1,-1
17674,52,0,-1,-1
16154,60,0,-1,-1
17738,18,0,-1,-1
19005,42,0,13,0
14564,80,0,-1,-1
4394,-1,-1,7,4
18400,40,14,-1,-1
15353,64,0,-1,-1
4395,76,2,6,2
11697,42,3,7,1
4396,8,0,2,4
17120,68,2,-1,-1
4397,18,0,2,2
4398,20,0,4,1
16938,10,0,-1,-1
4399,42,0,8,2
18387,29,0,-1,-1
17162,26,0,-1,-1
14547,61,0,-1,-1
16812,24,0,-1,-1
11771,32,0,6,1
4400,-1,-1,7,1
4401,10,0,5,1
18062,33,1,-1,-1
17494,49,1,-1,-1
16683,39,0,-1,-1
17226,16,0,-1,-1
17928,29,0,-1,-1
16842,56,0,-1,-1
17328,6,0,-1,-1
4403,48,2,12,2
15512,22,0,-1,-1
4404,34,4,6,1
16293,82,0,-1,-1
4405,17,2,2,0
15773,39,0,-1,-1
19028,42,2,10,1
4406,96,2,12,2
4407,8,2,4,2
15809,39,0,-1,-1
17954,20,1,-1,-1
4408,32,2,8,1
4409,18,1,6,1
17889,19,0,-1,-1
16955,18,0,-1,-1
17728,18,0,-1,-1
16668,18,0,-1,-1
16870,60,0,-1,-1
4410,18,2,6,0
4411,24,0,2,0
17512,41,0,-1,-1
4412,80,0,11,1
4413,86,2,11,7
4414,34,2,2,0
4415,32,0,5,1
11875,55,0,9,1
18515,27,2,-1,-1
17958,6,0,-1,-1
4416,12,1,17,1
11839,13,1,6,1
15480,37,0,-1,-1
4417,32,0,4,1
4418,54,0,10,1
4419,32,1,4,1
4420,22,0,8,0
15538,48,1,-1,-1
13166,89,0,9,2
4421,72,0,11,1
4422,50,0,4,1
11805,46,0,4,1
4423,142,0,10,0
16796,43,0,-1,-1
17188,39,1,-1,-1
18134,16,0,-1,-1
4425,30,0,1,2
16806,27,0,-1,-1
17877,15,0,-1,-1
4426,12,6,5,0
16696,18,0,-1,-1
15676,62,0,-1,-1
11796,84,0,12,1
4427,21,0,6,2
15303,16,0,-1,-1
12215,76,0,2,1
17707,34,0,-1,-1
4428,34,1,6,0
17608,10,1,-1,-1
12338,36,0,8,2
4429,38,0,14,0
11474,42,0,8,1
15651,74,0,-1,-1
4430,86,0,12,1
17195,22,0,-1,-1
15310,72,0,-1,-1
16385,56,4,-1,-1
17662,21,0,-1,-1
16420,62,2,-1,-1
4431,40,0,8,1
17069,22,0,-1,-1
13400,84,0,10,1
17703,26,1,-1,-1
17560,50,0,-1,-1
4432,12,0,6,1
17689,52,0,-1,-1
18395,40,0,-1,-1
19011,67,0,4,0
16741,31,0,-1,-1
18412,49,0,-1,-1
18105,53,0,-1,-1
4433,86,0,6,0
16677,72,0,-1,-1
4434,25,0,3,1
15530,32,0,-1,-1
4435,34,0,3,2
4436,74,0,10,2
17981,28,0,-1,-1
12207,34,0,6,1
19021,25,1,14,0
16341,27,0,-1,-1
11996,34,2,9,2
4437,52,0,2,0
12200,22,0,2,1
16527,28,2,-1,-1
13940,28,0,8,1
4438,24,0,8,0
18061,47,0,-1,-1
16358,59,0,-1,-1
16462,25,0,-1,-1
4439,42,0,7,0
16813,44,3,-1,-1
17932,16,0,-1,-1
15577,103,0,-1,-1
15631,26,0,-1,-1
4440,72,0,12,1
4441,54,0,4,1
19017,49,0,16,0
16690,16,0,-1,-1
4442,27,0,13,1
17429,27,0,-1,-1
16807,28,1,-1,-1
4443,16,0,4,0
4444,42,1,8,2
15791,88,0,-1,-1
16201,18,0,-1,-1
17481,18,0,-1,-1
13227,78,0,16,1
4445,102,1,10,0
16279,39,0,-1,-1
17155,23,0,-1,-1
14328,50,0,14,1
15858,17,0,-1,-1
13194,32,1,7,1
4446,64,2,12,2
17912,13,0,-1,-1
18459,23,4,-1,-1
17250,25,1,-1,-1
18507,25,1,-1,-1
15565,39,0,-1,-1
17187,33,0,-1,-1
15423,56,0,-1,-1
16342,25,0,-1,-1
17959,42,0,-1,-1
16089,31,0,-1,-1
17955,23,0,-1,-1
16203,62,0,-1,-1
17848,11,0,-1,-1
4447,29,0,8,2
4448,18,0,19,1
18063,61,0,-1,-1
13956,41,0,5,1
16110,52,0,-1,-1
16344,18,0,-1,-1
15326,40,0,-1,-1
4449,42,0,10,2
16740,7,0,-1,-1
15360,26,0,-1,-1
16106,53,0,-1,-1
15346,66,0,-1,-1
14577,26,0,-1,-1
19012,74,0,7,0
11523,62,0,6,1
15267,81,0,-1,-1
17936,20,0,-1,-1
17394,22,0,-1,-1
4450,34,1,7,4
4451,74,1,6,2
13149,46,1,8,1
4452,54,2,10,2
17789,26,0,-1,-1
15384,92,0,-1,-1
15397,93,2,-1,-1
4453,9,0,4,0
4454,34,2,7,3
15293,60,1,-1,-1
16935,19,0,-1,-1
19027,38,0,2,0
4455,41,0,7,4
4456,30,2,3,1
17657,39,1,-1,-1
16307,9,0,-1,-1
14473,38,0,-1,-1
15681,58,0,-1,-1
4457,94,0,8,1
16028,66,0,-1,-1
16953,21,0,-1,-1
18461,26,2,-1,-1
14023,44,0,11,1
16432,34,0,-1,-1
4458,22,0,6,2
16642,48,0,-1,-1
4459,30,0,2,0
4460,78,2,8,1
16886,15,0,-1,-1
14338,58,1,10,1
4461,12,0,4,2
4462,20,1,7,1
14496,21,0,-1,-1
15485,28,0,-1,-1
4463,46,0,1,0
4464,16,0,7,1
15859,70,0,-1,-1
16571,35,0,-1,-1
17405,49,0,-1,-1
4465,38,0,12,0
16843,72,1,-1,-1
15356,28,0,-1,-1
4466,52,0,2,0
4467,30,0,4,2
15504,60,0,-1,-1
15531,83,0,-1,-1
4468,20,0,5,13
19006,65,2,22,3
16518,24,0,-1,-1
17100,19,0,-1,-1
15503,58,0,-1,-1
11453,-1,-1,9,1
15614,77,0,-1,-1
4469,62,1,5,1
17522,22,1,-1,-1
15632,59,0,-1,-1
4470,33,1,5,1
16024,46,0,-1,-1
16765,78,0,-1,-1
4471,48,0,6,2
13906,62,0,5,1
17331,36,6,-1,-1
4472,108,0,10,2
14012,10,0,4,1
17342,38,0,-1,-1
16736,67,1,-1,-1
13893,55,0,7,1
4473,44,0,8,2
18508,80,0,-1,-1
17679,59,0,-1,-1
16978,30,0,-1,-1
16628,28,0,-1,-1
4474,6,0,3,4
4475,18,2,5,1
14528,52,0,-1,-1
4476,24,0,8,2
17239,44,0,-1,-1
17817,5,0,-1,-1
4477,24,0,4,1
17296,32,1,-1,-1
15698,48,0,-1,-1
17286,22,0,-1,-1
16041,26,0,-1,-1
18431,19,2,-1,-1
17552,39,0,-1,-1
12298,34,0,8,1
4478,78,0,7,1
4479,90,0,8,1
18432,15,0,-1,-1
4480,64,1,8,0
15288,116,2,-1,-1
4481,21,7,5,1
4482,58,2,6,2
11348,92,0,8,1
4483,36,1,10,1
4484,42,0,2,1
13988,71,0,2,0
19014,86,0,15,0
16065,48,0,-1,-1
4485,22,1,1,1
15320,30,0,-1,-1
4486,26,0,4,0
17803,9,0,-1,-1
15582,102,0,-1,-1
17433,17,0,-1,-1
16620,60,4,-1,-1
12345,42,0,6,1
4487,62,1,10,1
4488,52,0,14,3
17605,50,0,-1,-1
12304,134,0,18,2
13301,24,0,7,0
4489,42,1,1,1
14493,35,0,-1,-1
4490,34,0,2,0
16364,32,0,-1,-1
16270,48,0,-1,-1
14063,45,0,9,1
4491,19,0,10,1
4492,-1,-1,12,2
4493,16,0,6,0
4494,50,0,5,1
17546,20,0,-1,-1
18000,14,0,-1,-1
11396,36,0,3,1
17547,66,0,-1,-1
4495,20,0,10,2
17139,4,0,-1,-1
17649,32,0,-1,-1
17911,7,0,-1,-1
4496,38,0,6,2
17113,52,2,-1,-1
16042,44,0,-1,-1
12277,12,0,1,0
17629,41,0,-1,-1
16605,44,0,-1,-1
4497,58,1,6,1
11492,66,0,10,1
17480,40,0,-1,-1
4498,36,2,10,2
16915,36,0,-1,-1
4499,27,2,8,2
15781,18,1,-1,-1
4500,53,0,9,0
19022,53,0,4,1
4501,42,0,8,6
17871,4,0,-1,-1
15597,24,0,-1,-1
17495,65,0,-1,-1
11504,28,0,7,1
16921,30,1,-1,-1
13300,22,0,9,0
15842,15,0,-1,-1
16988,28,0,-1,-1
15505,44,1,-1,-1
4502,32,0,2,0
17164,37,0,-1,-1
17531,34,0,-1,-1
15547,24,0,-1,-1
13268,31,0,6,1
16701,32,0,-1,-1
15607,68,0,-1,-1
4503,44,0,14,0
17363,38,0,-1,-1
4504,20,1,10,1
4505,37,7,-1,-1
15613,77,0,-1,-1
15391,48,1,-1,-1
4506,60,0,4,1
15795,36,2,-1,-1
4507,30,0,4,2
16528,38,4,-1,-1
15817,70,0,-1,-1
4508,42,0,3,4
4509,72,0,12,0
13395,85,0,8,0
16064,84,0,-1,-1
4510,-1,-1,5,2
14100,25,1,7,1
4511,68,0,3,1
16629,32,0,-1,-1
18044,17,0,-1,-1
11334,26,0,4,1
13179,44,0,9,1
17623,63,0,-1,-1
4512,44,2,3,1
4513,74,0,10,1
4514,10,1,7,1
12421,52,0,5,1
4515,76,0,1,1
18056,26,0,-1,-1
4516,70,0,12,1
4517,24,1,2,1
4518,24,0,9,2
17575,38,0,-1,-1
13144,26,0,12,2
17141,26,0,-1,-1
18381,98,2,-1,-1
11953,30,2,3,1
17953,20,0,-1,-1
4519,20,1,7,1
13883,44,0,5,1
4520,42,0,5,1
19029,28,0,3,1
17692,70,0,-1,-1
4521,22,0,5,1
16709,20,0,-1,-1
15306,68,0,-1,-1
15250,52,0,-1,-1
18383,22,0,-1,-1
16454,60,0,-1,-1
16892,24,0,-1,-1
4522,12,2,1,1
16784,41,2,-1,-1
4523,24,0,2,1
12232,24,4,1,1
14544,34,0,-1,-1
16022,48,0,-1,-1
4524,41,0,3,1
11808,50,0,6,1
15407,18,1,-1,-1
17903,44,0,-1,-1
17038,26,1,-1,-1
16144,72,0,-1,-1
16105,16,0,-1,-1
18060,12,1,-1,-1
16835,17,0,-1,-1
4525,28,2,4,4
4526,108,0,8,2
17507,24,0,-1,-1
16125,9,0,-1,-1
17596,25,0,-1,-1
15654,28,0,-1,-1
4527,48,2,4,1
13884,80,0,7,0
4528,54,0,32,6
11706,130,2,10,1
16833,23,0,-1,-1
4529,68,0,6,1
11607,187,0,7,1
4530,26,0,12,1
17415,5,1,-1,-1
16194,37,0,-1,-1
13217,94,1,12,2
13207,32,1,10,1
4531,28,0,6,0
15587,65,0,-1,-1
17878,8,3,-1,-1
14372,57,0,-1,-1
18007,11,0,-1,-1
14054,44,0,7,1
4532,30,0,8,1
18479,70,0,-1,-1
4533,36,0,16,1
18094,42,2,-1,-1
17699,17,0,-1,-1
13336,58,0,7,1
4534,34,0,6,2
11977,56,0,6,1
4535,28,2,8,2
13233,82,0,12,2
4536,44,0,8,1
4537,32,1,5,0
16484,46,1,-1,-1
4538,74,0,18,0
16569,5,0,-1,-1
4539,70,1,10,0
11531,32,0,2,1
12398,42,0,6,1
15830,24,0,-1,-1
14387,57,0,-1,-1
4540,156,0,9,1
18122,20,0,-1,-1
17110,34,1,-1,-1
14355,26,0,-1,-1
17434,17,0,-1,-1
14064,10,0,13,1
4541,28,0,9,1
12224,20,0,2,1
18019,40,0,-1,-1
15647,16,0,-1,-1
4542,110,2,8,1
17048,11,0,-1,-1
4543,6,0,4,2
18368,34,1,-1,-1
16456,62,0,-1,-1
16216,37,0,-1,-1
17272,26,0,-1,-1
4544,51,0,9,1
15588,40,0,-1,-1
14339,25,0,12,1
4545,18,0,8,1
16700,34,1,-1,-1
12242,15,0,6,1
4546,40,0,10,2
17140,2,0,-1,-1
15479,68,0,-1,-1
4547,34,0,6,2
16897,34,0,-1,-1
17577,22,0,-1,-1
4548,50,0,13,1
17883,20,0,-1,-1
17086,17,0,-1,-1
4549,-1,-1,12,6
16984,15,0,-1,-1
17650,41,0,-1,-1
11624,65,0,9,1
18464,31,2,-1,-1
4550,56,0,4,0
4551,78,0,10,2
4552,58,0,4,2
13878,35,0,4,0
4553,20,0,3,4
4554,90,4,12,0
4555,41,0,5,2
16476,33,1,-1,-1
4556,62,0,6,2
4557,22,0,3,1
15751,56,0,-1,-1
16885,30,0,-1,-1
4558,60,0,12,2
12337,138,0,12,4
4559,92,0,8,0
15860,93,0,-1,-1
15266,93,0,-1,-1
14094,17,0,6,1
4560,48,0,11,1
16666,57,0,-1,-1
16536,33,0,-1,-1
12315,26,0,4,1
16650,77,0,-1,-1
18057,26,0,-1,-1
14302,45,0,8,1
16649,36,0,-1,-1
14050,30,0,16,4
4561,49,0,6,0
4562,16,0,8,2
17823,32,0,-1,-1
4563,58,0,10,1
13145,31,0,8,1
11281,36,0,2,1
18367,90,2,-1,-1
17967,15,0,-1,-1
4564,45,0,10,2
4565,28,0,6,1
17532,22,0,-1,-1
11404,62,0,6,1
4566,190,2,3,1
11946,76,0,18,2
4567,108,2,6,0
12181,26,0,6,1
17343,24,0,-1,-1
4568,38,2,10,6
16283,32,0,-1,-1
4569,51,0,18,0
16204,73,0,-1,-1
15430,74,2,-1,-1
4570,54,0,4,0
12414,82,0,6,1
18496,23,0,-1,-1
